node,x,y,z,lumped_control_volume,previous_indicator,low_order_indicator,raw_target_indicator,limited_indicator,physical_boundary_transfer,discrete_divergence_source,low_order_interior_transfer,raw_antidiffusive_transfer,limited_antidiffusive_transfer,limited_balance_residual,courant,component_id
28179,0.9375,0.875,0.78125,3.0517578124999983e-05,5.3881519838624816e-08,5.9224419147492391e-08,5.5852876033381023e-08,5.5827590917998377e-08,-3.8021076351250562e-30,-5.6607347161087212e-29,1.6305234707237473e-13,-1.0289133038669934e-13,-1.0366297087078891e-13,-8.8352421384753322e-29,0.04759268693799043,79
28180,0.96875,0.875,0.78125,3.0517578124999983e-05,9.4144202406527746e-09,1.0459666836399102e-08,9.7922109040780901e-09,9.7922109040780901e-09,-3.5392793895511665e-31,1.6722918822381609e-31,3.1898394645578787e-14,-2.0369138559601202e-14,-2.0369138559601202e-14,5.3642541555028803e-29,0.024486972630760582,79
28181,1,0.875,0.78125,1.5258789062499992e-05,1.6147641040919779e-09,1.7944944279861934e-09,1.686911094224489e-09,1.686911094224489e-09,2.2286360769925567e-46,2.4505807269900413e-17,2.7179612931667329e-15,-1.6415913965103819e-15,-1.6415913965103819e-15,3.3526588471893002e-30,0.0058154228406354898,-1
28182,0,0.90625,0.78125,1.5258789062499992e-05,1.5004181002137495e-15,2.5386600226634146e-15,1.3863170059135232e-15,1.3860522908838546e-15,-0,-1.7890652820657623e-23,1.5860205143324567e-20,-1.7583359020231489e-20,-1.7587398251030874e-20,7.147005652999508e-36,0.0058115249856413535,-1
28183,0.03125,0.90625,0.78125,3.0517578124999983e-05,3.6903921300509364e-13,4.793419243413999e-13,4.2276697786772981e-13,4.2199280062661385e-13,1.0940357321497875e-35,-2.2013265650993804e-36,3.3661716106050457e-18,-1.7265303489279191e-18,-1.7501563633662715e-18,9.6296497219361793e-34,0.018205358976799254,-1
28184,0.0625,0.90625,0.78125,3.0517578124999983e-05,1.7358157101937688e-11,2.2421392466519462e-11,1.9614918160148428e-11,1.9558783911020034e-11,1.0527705567912617e-33,3.1062530216107276e-33,1.5451768080388707e-16,-8.5646798900483149e-17,-8.7359880233747153e-17,-1.2325951644078309e-32,0.036243182703951549,-1
28185,0.09375,0.90625,0.78125,3.0517578124999983e-05,2.8266930097896851e-10,3.6734131404737379e-10,3.0298275735194041e-10,3.0253699917034673e-10,2.5955171933749637e-32,-2.0233538966748895e-32,2.5839847738160781e-15,-1.9640672819651283e-15,-1.9776707420967717e-15,-6.9025329206838533e-31,0.056474644840849991,-1
28186,0.125,0.90625,0.78125,3.0517578124999983e-05,1.7269432215674708e-09,2.3294579908621789e-09,1.6727879982703237e-09,1.670486073789796e-09,2.1062308745546039e-31,-2.8843506047706809e-31,1.8387291543417597e-14,-2.0039977801265096e-14,-2.0110226961437458e-14,9.8607613152626476e-31,0.078884714249125729,-1
28187,0.15625,0.90625,0.78125,3.0517578124999983e-05,2.4685360547194714e-13,4.7077080777693228e-09,-2.4696329082584773e-10,-1.8510559570258355e-16,3.7007151674218764e-35,6.9206883367696638e-35,1.4366031567882838e-13,-1.5120457057480371e-13,-1.4366785470199329e-13,4.622231866529366e-33,0.10433627166294382,-1
28188,0.1875,0.90625,0.78125,3.0517578124999983e-05,1.1767177118287723e-08,4.7274458106357325e-08,2.0861447164381011e-08,2.0781370504395601e-08,2.0546053665378683e-30,5.4047420921354182e-30,1.0835962215597407e-12,-8.060611249382416e-13,-8.0850487066533542e-13,5.0487097934144756e-29,0.13142788488482698,79
28189,0.21875,0.90625,0.78125,3.0517578124999983e-05,2.5064444319397504e-07,4.0369693531244583e-07,3.1648662093995735e-07,3.1570260217062183e-07,4.8896307549958582e-29,-1.1960794446845394e-29,4.6707913854513775e-12,-2.6614475821682252e-12,-2.6853739362128889e-12,-1.2116903504194741e-27,0.15870041217229283,79
28190,0.25,0.90625,0.78125,3.0517578124999983e-05,1.3120897241282464e-06,1.5678414644367093e-06,1.4407903595115754e-06,1.4381948009270393e-06,2.7627512753936874e-28,-8.7658395297273385e-28,7.8049237154682229e-12,-3.8772920204203415e-12,-3.9565021823019429e-12,4.0389678347315804e-27,0.18479104749067155,79
28191,0.28125,0.90625,0.78125,3.0517578124999983e-05,2.6235865856381437e-06,2.725808362157797e-06,2.5735138659780344e-06,2.5455681003805513e-06,5.7836007523528177e-28,-3.1299496873379208e-29,3.1195610510147918e-12,-4.6476591851734184e-12,-5.5004962700575443e-12,1.5751974555453164e-26,0.20872672238135334,79
28192,0.3125,0.90625,0.78125,3.0517578124999983e-05,1.7522974678723689e-06,2.1239417095807949e-06,1.4427248545868815e-06,1.431731662653137e-06,3.9314202942103822e-28,1.8187333931690378e-27,1.1341682181043267e-11,-2.0789088592343533e-11,-2.1124574186024701e-11,-6.4623485355705287e-27,0.22973742919211593,79
28193,0.34375,0.90625,0.78125,3.0517578124999983e-05,3.0951459222744503e-07,2.0366851767064127e-06,4.0219469402308626e-07,3.9934320576197862e-07,6.8757404010220712e-29,1.9570366247111498e-28,5.2709063247038776e-11,-4.9880690999857348e-11,-4.9967711515638221e-11,4.8467614016778965e-27,0.24685154187207037,79
28194,0.375,0.90625,0.78125,3.0517578124999983e-05,2.6377365981497903e-06,4.7732434141470276e-06,3.1310113127116641e-06,3.1161805413746608e-06,5.6419864574706618e-28,-1.1643273630707031e-27,6.5170496093665637e-11,-5.0116946454936598e-11,-5.0569545677867606e-11,9.6935228033557931e-27,0.25949777031497856,79
