case,category,topology,order,mode,operation,iterations,seconds,ns_per_call,min_ns_per_call,max_ns_per_call,allocations_per_call,model_lower_bound_ns,measured_to_model_bound,modeled_flops_per_call,estimated_bytes_per_call
lagrange_wedge_order7_strided_hessians,lagrange_strided_batch,wedge,7,strided,hessians,27,0.000314784,11658.6666667,11607.8518519,12475.1851852,0.0,0,0,34688,103680
lagrange_wedge_order7_strided_all,lagrange_strided_batch,wedge,7,strided,all,27,0.000440143,16301.5925926,15972.5555556,16622.1851852,0.0,0,0,48512,149760
lagrange_wedge_order8_construction,lagrange_construction,wedge,8,construction,construction,20,0.000670613,33530.65,29232.6,34803.6,132.0,0,0,0,0
lagrange_wedge_order8_point_values,lagrange_scalar_point,wedge,8,point,values,100,6.2936e-05,629.36,628.71,629.41,0.0,0,0,1620,3240
lagrange_wedge_order8_point_gradients,lagrange_scalar_point,wedge,8,point,gradients,100,9.3743e-05,937.43,934.84,939.77,0.0,0,0,4374,9720
lagrange_wedge_order8_point_hessians,lagrange_scalar_point,wedge,8,point,hessians,100,0.00020047,2004.7,1956.39,2123.33,0.0,0,0,12069,29160
lagrange_wedge_order8_point_all,lagrange_scalar_point,wedge,8,point,all,100,0.000279166,2791.66,2686.93,2863.09,0.0,0,0,16929,42120
lagrange_wedge_order8_strided_values,lagrange_strided_batch,wedge,8,strided,values,20,4.4083e-05,2204.15,2202.55,2211.75,0.0,0,0,6480,16200
lagrange_wedge_order8_strided_gradients,lagrange_strided_batch,wedge,8,strided,gradients,20,0.000106743,5337.15,5186.75,6068.3,0.0,0,0,17496,48600
lagrange_wedge_order8_strided_hessians,lagrange_strided_batch,wedge,8,strided,hessians,20,0.000317452,15872.6,15680.6,15878.4,0.0,0,0,48276,145800
lagrange_wedge_order8_strided_all,lagrange_strided_batch,wedge,8,strided,all,20,0.000443423,22171.15,22144.6,22557.7,0.0,0,0,67716,210600
lagrange_pyramid_order1_construction,lagrange_construction,pyramid,1,construction,construction,20,3.37e-06,168.5,141.65,1665.95,1.0,0,0,0,0
lagrange_pyramid_order1_point_values,lagrange_scalar_point,pyramid,1,point,values,5000,0.00027098,54.196,54.1048,54.9242,0.0,0,0,72,40
lagrange_pyramid_order1_point_gradients,lagrange_scalar_point,pyramid,1,point,gradients,5000,0.00040298,80.596,79.0294,80.8546,0.0,0,0,216,120
lagrange_pyramid_order1_point_hessians,lagrange_scalar_point,pyramid,1,point,hessians,5000,0.000515272,103.0544,102.988,104.1302,0.0,0,0,648,360
lagrange_pyramid_order1_point_all,lagrange_scalar_point,pyramid,1,point,all,5000,0.000669775,133.955,131.0592,134.2784,0.0,0,0,936,520
lagrange_pyramid_order1_strided_values,lagrange_strided_batch,pyramid,1,strided,values,1000,0.00021893,218.93,214.822,223.893,0.0,0,0,288,200
lagrange_pyramid_order1_strided_gradients,lagrange_strided_batch,pyramid,1,strided,gradients,1000,0.000336008,336.008,331.387,341.463,0.0,0,0,864,600
lagrange_pyramid_order1_strided_hessians,lagrange_strided_batch,pyramid,1,strided,hessians,1000,0.000399116,399.116,389.257,409.489,0.0,0,0,2592,1800
lagrange_pyramid_order1_strided_all,lagrange_strided_batch,pyramid,1,strided,all,1000,0.00058049,580.49,556.29,814.32,0.0,0,0,3744,2600
lagrange_pyramid_order2_construction,lagrange_construction,pyramid,2,construction,construction,20,3.227e-06,161.35,152.75,324.6,1.0,0,0,0,0
lagrange_pyramid_order2_point_values,lagrange_scalar_point,pyramid,2,point,values,5000,0.000419573,83.9146,82.8624,85.0296,0.0,0,0,308,112
lagrange_pyramid_order2_point_gradients,lagrange_scalar_point,pyramid,2,point,gradients,5000,0.000885671,177.1342,175.565,183.6118,0.0,0,0,924,336
