node,x,y,z,lumped_control_volume,previous_indicator,low_order_indicator,raw_target_indicator,limited_indicator,physical_boundary_transfer,discrete_divergence_source,low_order_interior_transfer,raw_antidiffusive_transfer,limited_antidiffusive_transfer,limited_balance_residual,courant,component_id
92,0.421875,0.015625,0,0.00024414062499999989,0,0,0,0,0,0,0,0,0,0,0.24615384615384622,-1
93,0.4375,0.015625,0,0.00024414062499999989,0,0,0,0,0,0,0,0,0,0,0.24615384615384622,-1
94,0.453125,0.015625,0,0.00024414062499999989,0,0,0,0,0,0,0,0,0,0,0.24615384615384622,-1
95,0.46875,0.015625,0,0.00024414062499999989,0,0,0,0,0,0,0,0,0,0,0.24615384615384622,-1
96,0.484375,0.015625,0,0.00024414062499999989,0,0,0,0,0,0,0,0,0,0,0.24615384615384622,-1
97,0.5,0.015625,0,0.00024414062499999989,0,0,0,0,0,0,0,0,0,0,0.24615384615384622,-1
98,0.515625,0.015625,0,0.00024414062499999989,0,0,0,0,0,0,0,0,0,0,0.24615384615384622,-1
99,0.53125,0.015625,0,0.00024414062499999989,0,0,0,0,0,0,0,0,0,0,0.24615384615384622,-1
100,0.546875,0.015625,0,0.00024414062499999989,0,0,0,0,0,0,0,0,0,0,0.24615384615384622,-1
101,0.5625,0.015625,0,0.00024414062499999989,0,0,0,0,0,0,0,0,0,0,0.24615384615384622,-1
102,0.578125,0.015625,0,0.00024414062499999989,0,0,1.1484952047286747e-52,0,0,0,0,2.8039433709196146e-56,0,0,0.24615384615384622,-1
103,0.59375,0.015625,0,0.00024414062499999989,0,0,4.1055053786480981e-39,0,0,0,0,1.0023206490840079e-42,0,0,0.24615384615384622,-1
104,0.609375,0.015625,0,0.00024414062499999989,0,-2.2969904094573494e-52,-1.1416581648300284e-52,-1.1416581648300284e-52,0,0,-5.6078867418392292e-56,2.820635362859669e-56,2.820635362859669e-56,0,0.24615384615384622,-1
105,0.625,0.015625,0,0.00024414062499999989,0,-8.2110107572961963e-39,-5.7777202755156556e-39,-5.7777202755156556e-39,0,0,-2.0046412981680157e-42,5.9406505902845208e-43,5.9406505902845208e-43,-1.5930919111324523e-58,0.24615384615384622,-1
