step,time,previous_measure,low_order_measure,raw_target_measure,limited_measure,cumulative_boundary_transfer,cumulative_discrete_divergence_source,accounted_measure,raw_measure_error,accounted_balance_error,minimum_indicator,maximum_indicator,maximum_courant,maximum_local_balance_residual,maximum_component_balance_residual,components
11,0.21153846153846156,0.048828124999999979,0.048828124999999979,0.048828124999999979,0.048828124999999979,1.8348036765139306e-18,1.1467522978212068e-17,0.048828124999999993,0,-1.3877787807814457e-17,-3.4694469519536142e-17,1,0.49230769230769245,4.7433845046240819e-20,4.0512238974797879e-17,1
12,0.23076923076923078,0.048828124999999979,0.048828124999999979,0.048828124999999979,0.048828124999999979,2.0016040107424699e-18,1.2510025067140438e-17,0.048828124999999993,0,-1.3877787807814457e-17,-3.8163916471489756e-17,1,0.49230769230769245,4.4045713257223618e-20,5.3107353236552202e-17,1
13,0.25,0.048828124999999979,0.048828124999999979,0.048828124999999979,0.048828124999999979,2.1684043449710089e-18,1.3552527156068807e-17,0.048828124999999993,0,-1.3877787807814457e-17,-3.903127820947816e-17,1,0.49230769230769245,3.9810548520952116e-20,1.0328423997805981e-16,1
14,0.26923076923076927,0.048828124999999979,0.048828124999999979,0.048828124999999979,0.048828124999999979,2.3352046791995482e-18,1.4595029244997178e-17,0.048828124999999993,0,-1.3877787807814457e-17,-3.9027940457946196e-17,1,0.49230769230769245,3.6422416731934915e-20,5.7338591556482242e-17,1
15,0.28846153846153849,0.048828124999999979,0.048828124999999979,0.048828124999999979,0.048828124999999979,2.5020050134280871e-18,1.5637531333925547e-17,0.048828125,0,-2.0816681711721685e-17,-4.163336342344337e-17,1,0.49230769230769245,4.8280877993495119e-20,2.466018873226094e-17,1
16,0.30769230769230771,0.048828124999999979,0.048828124999999979,0.048828124999999979,0.048828124999999979,2.6688053476566264e-18,1.6680033422853917e-17,0.048828125,0,-2.0816681711721685e-17,-4.1517531667906345e-17,1,0.49230769230769245,5.3363075677020921e-20,2.3715574810026839e-17,1
17,0.32692307692307693,0.048828124999999979,0.048828124999999979,0.048828124999999979,0.048828124999999979,2.8356056818851658e-18,1.7722535511782286e-17,0.048828125,0,-2.0816681711721685e-17,-4.3368086899420177e-17,1,0.49230769230769245,3.8963515573697816e-20,8.9242331239059309e-17,1
18,0.34615384615384615,0.048828124999999979,0.048828124999999979,0.048828124999999979,0.048828124999999979,3.0024060161137047e-18,1.8765037600710656e-17,0.048828125,0,-2.0816681711721685e-17,-4.3368086899420177e-17,1,0.49230769230769245,3.7269449679189215e-20,1.0283211720616603e-16,1
19,0.36538461538461542,0.048828124999999979,0.048828124999999979,0.048828124999999979,0.048828124999999979,3.169206350342244e-18,1.9807539689639025e-17,0.048828125,0,-2.0816681711721685e-17,-4.5102810375396984e-17,1,0.49230769230769245,4.5739779151732218e-20,4.6646894566343287e-17,1
20,0.38461538461538464,0.048828124999999979,0.048828124999999979,0.048828124999999979,0.048828124999999979,3.336006684570783e-18,2.0850041778567394e-17,0.048828125,0,-2.0816681711721685e-17,-4.5102810375396984e-17,1,0.49230769230769245,4.4045713257223618e-20,1.2912370409496921e-17,1
21,0.40384615384615385,0.048828124999999979,0.048828124999999979,0.048828124999999979,0.048828124999999979,3.5028070187993219e-18,2.1892543867495767e-17,0.048828125000000007,0,-2.7755575615628914e-17,-4.8572257327350599e-17,1,0.49230769230769245,4.7433845046240819e-20,2.4896267345703887e-17,1
